the,6187267,5.617791026411063,6.0906642275040035,16.813304532596085,26.579346012800002,15290.708466359614
of,2941444,4.5758225171674685,7.234828142412049,8.168264293193735,1,270.41275431746163
and,2682863,4.461120052216285,5.353280259491645,21.518723418724562,40.0,20556.08411051654
a,2126369,4.183981839973881,4.521336517189513,1,1,18.917189880331676
in,1812609,4.003694096117291,5.37480476439465,6.365888541303516,1,136.98802725168497
to,1620850,3.8820682201745726,4.5432870469722175,5.214909174906662,1,91.97717969286357
it,1089186,3.478826596712772,4.865915851252227,11.601862607593384,1,196.3925883967631
is,998389,3.3962793300347927,5.415377198127711,4.604217727966666,1,84.68138777120718
was,923948,3.3244436781426296,6.323834175309999,5.857660368764443,34.034169792,4191.20401477371
to,917579,3.3181054157758387,4.5432870469722175,5.214909174906662,1,78.61530523359892
i,884599,3.2847649840653363,5.691417742402252,1,1,18.694969709931105
for,833360,3.2311332494273626,6.664663716144598,14.645210390648534,32.81093536,10347.78354218491
you,695498,3.073881523255464,5.1897349418135,6.657665008350898,5.853837753082946,621.7201201079682
he,681255,3.0563838736202484,7.115789361204904,12.497355343158507,1,271.7997806047388
be,662516,3.0329546467535016,6.2596599229983685,12.50307396337976,1,237.374168140223
with,652027,3.01963019429927,7.281059330904578,15.189676654234404,40.0,13358.474006847311
on,647344,3.01363110203035,5.05217596011464,4.583231107294143,1,69.7815021805671
that,628999,2.9898232703490653,5.670935175905116,10.980349844348058,40.0,7446.914530156131
by,507317,2.8176382840075718,6.708466732212546,14.513045809982616,1,274.32606635604276
at,478162,2.7720023082508267,4.280875238645859,3.3283527623119578,1,39.49621771849366
are,470943,2.760392518191634,4.731891278994158,4.438874735293408,5.8636139903261295,339.9725565169934
not,462486,2.7466266600224216,4.714921960110495,8.38992121897281,7.467426645017768,811.3401872413281
this,461945,2.7457398654969585,6.2381861556460425,10.83667140319751,26.820300163543042,4978.2563736862785
but,454096,2.7327885513795325,5.961719988967443,13.810884678229222,40.0,9000.343692486678
they,433441,2.697914059570334,5.829902189280907,16.341878078552014,33.2896730064,8556.593003123442
his,426896,2.6866125359064097,6.970776887493989,5.6903802437794315,13.640600327086084,1453.6538119568559
from,413532,2.6631408535099683,7.028213623866794,16.620251964552967,23.918485455398404,7440.641325907019
had,409012,2.6550779730781575,7.027741752771477,9.851299852154582,40.0,7352.695885510468
she,380257,2.602212924194369,6.45697179208766,14.755306236988089,10.643189569348612,2638.7104906349773
which,372031,2.5865589065713714,9.09081673365294,17.575080414118705,40.0,16530.370526365918
or,370808,2.5842102043946458,5.2852474987259646,3.8931919430954336,1,53.17395728567328
we,358039,2.5593465027199565,6.730415905535288,10.059006577320567,1,173.27107991241084
an,343063,2.5293532771869836,4.7897641517882805,3.037446837449124,1,36.79868561026624
were,322824,2.4872743496203356,5.7837922827158845,6.424454292605712,22.20387100566999,2052.1132185631654
that,286913,2.407651747292888,5.670935175905116,10.980349844348058,40.0,5996.868429744312
been,268723,2.364535211796967,5.431878522141762,6.818247418585701,25.93227353184,2270.9584337157658
have,268490,2.3639693974818368,9.95423393260092,10.319841649154487,7.934836984134069,1926.906914796252
their,260919,2.3453874357361273,5.897549057704792,17.978831957856542,30.593533097599998,7608.118426626631
has,259431,2.3416895691673636,6.580749812423076,6.801587760127107,40.0,4192.518608500796
would,255188,2.3310601506001447,6.3740586765274125,18.017894442106204,40.0,10708.621458191383
what,249466,2.3165210014316933,6.988539024601394,9.564999526384598,40.0,6193.948366124636
will,244822,2.304542387771456,6.529343175333637,7.600663910985844,20.853636354422648,2384.9952643466972
there,239460,2.290505346137767,5.589266000460994,10.710241341422186,26.745307538926657,3667.186032770159
if,237089,2.284225723411213,7.557456946692058,12.614310521580773,1,217.7600549117224
can,234386,2.277011076626424,6.622737447366202,6.731969236672388,40.0,4060.7363718205515
all,227737,2.2590040662112028,5.212154040411499,4.840466657091614,6.287489999206421,358.34289273711374
her,218258,2.2326625266994498,6.585304528673168,8.893555965793606,32.61151776,4264.276924757847
as,208623,2.2050242873374564,4.830336585521342,5.119732471555663,1,54.5303191258982
who,205432,2.1956672508192323,8.146188584985364,11.001515691006198,7.4558196216318375,1467.131018615639
have,205195,2.19496810310829,9.95423393260092,10.319841649154487,7.934836984134069,1789.1514247781517
do,196635,2.169314659286607,5.763236304370302,15.445783991232826,1,193.10740815747286
that,194800,2.1637104900229382,5.670935175905116,10.980349844348058,40.0,5389.270746200947
one,190499,2.150423624153334,4.751451458804181,6.341551316086842,8.987511826764802,582.3516433201328
said,185277,2.133996317198023,5.458100847085827,6.566655715483807,33.3490506256,2550.7209163456832
them,173414,2.0953917551914207,6.597714007386347,16.169421932759114,33.2896730064,7441.538620481645
some,171174,2.08788916487703,5.613590647728011,8.5173140634552,32.895468592,3283.8772822544097
could,168387,2.078454554872629,6.569629613254358,16.15171713486263,40.0,8821.858956246195
him,165014,2.066883744042867,7.963952451887392,8.450679422402667,32.961600159999996,4585.055763022515
into,163469,2.0615264920882983,4.959045905683434,6.161651128510349,20.042373135808003,1262.5055530536094
its,163081,2.060175354796514,4.957056118785875,11.545854158292952,12.294877323336184,1449.7005052920288
then,160652,2.0516634876021707,5.832546117224765,12.800530195611854,33.2896730064,5099.197094392921
two,156111,2.0354973247170878,6.1324678162772495,30.339429590489697,40.0,15148.62504942854
when,155417,2.0329967639198188,7.150149965921043,11.385179877648394,40.0,6619.904525151987
up,154288,2.0289115171358705,7.055678048706591,12.457944320584204,1,178.33978905658947
time,153679,2.026698878240902,5.500174376430275,7.489557621379503,13.930767313305601,1163.0459953258505
