e,1,0,0,0
e,1,0,0,50
a,1741513675515286877,2000.0,3.96,49.54
a,1741513681448653866,2000.0,3.96,49.084
s,1741513681845939840,497.278,15.927,48.752
i,1741513682009263824,163.319,48.494,48.749
a,1741513682654305396,645.036,12.278,48.384
a,1741513683645969969,571.809,13.851,47.747
a,1741513684860313452,1944.879,4.072,47.31
r,1741513686554503162,1694.184,4.675,46.884
a,1741513687964707881,1944.879,4.072,46.456
a,1741513690019457373,1944.879,4.072,46.032
r,1741513690679271528,659.808,12.003,45.692
e,1741513692060752970,1381.475,5.733,45.292
r,1741513692824882692,615.274,12.872,45.046
i,1741513693049310620,224.422,35.291,44.948
s,1741513693260114692,210.796,37.572,44.874
e,1741513693395101468,134.983,58.674,45.012
s,1741513693649095259,253.987,31.183,44.874
s,1741513700010356577,1901.147,4.166,44.467
r,1741513700204233034,193.87,40.852,44.431
i,1741513700325769367,121.532,65.168,44.638
r,1741513700864545284,420.12,18.852,44.599
i,1741513701436691813,572.136,13.843,44.291
s,1741513701614562786,177.864,44.528,44.293
e,1741513701764279645,149.709,52.903,44.379
s,1741513701884834979,120.548,65.7,44.592
r,1741513702613806353,338.028,23.43,44.14
o,1741513702740922739,127.111,62.308,44.322
s,1741513702904537462,163.607,48.409,44.363
e,1741513703039464593,134.92,58.701,44.506
r,1741513703731443092,555.537,14.256,44.337
a,1741513703985547210,254.096,31.169,44.205
r,1741513704195105604,209.552,37.795,44.141
e,1741513704375537893,180.424,43.897,44.139
s,1741513704810705511,285.177,27.772,44.061
e,1741513705013104182,202.394,39.132,44.012
a,1741513705095844962,82.736,95.726,44.529
a,1741513705515678392,194.263,40.769,44.398
r,1741513705635602672,119.917,66.046,44.614
o,1741513705785277487,149.668,52.917,44.697
s,1741513706100980814,315.697,25.087,44.501
e,1741513706250852004,149.865,52.848,44.584
r,1741513706581089539,240.869,32.881,44.903
i,1741513706716475633,135.381,58.501,45.039
s,1741513706835529723,119.049,66.527,45.254
e,1741513706940835516,105.299,75.214,45.554
r,1741513707360101796,246.031,32.191,45.422
r,1741513708246659557,1693.678,4.676,45.015
i,1741513708500125066,353.462,22.407,44.789
s,1741513708616142826,116.013,68.268,45.024
e,1741513708710424734,94.277,84.008,45.414
r,1741513709521300426,654.748,12.096,45.133
o,1741513709640321980,119.015,66.546,45.347
s,1741513709775153348,134.826,58.742,45.481
s,1741513709910280848,135.122,58.614,45.612
s,1741513710300480273,301.098,26.304,45.848
e,1741513710435915806,135.427,58.482,45.974
a,1741513710525347611,89.427,88.564,46.4
e,1741513711034809044,314.316,25.198,46.131
a,1741513711124502942,89.689,88.305,46.553
e,1741513713466048026,1653.533,4.79,46.135
a,1741513713630172595,364.12,21.751,45.891
s,1741513716722134046,1587.633,4.989,45.482
